Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,name,platform,meta_score,user_score
9962,TMNT,PSP,2007.0,Action,Ubisoft,0.1,0.01,0.0,0.01,0.12,TMNT,PSP,37.0,4.3
9967,de Blob 2,DS,2011.0,Platform,THQ,0.09,0.02,0.0,0.01,0.12,de Blob 2,DS,75.0,8.3
9972,Darkspore,PC,2011.0,Role-Playing,Electronic Arts,0.07,0.03,0.0,0.01,0.12,Darkspore,PC,65.0,6.0
9978,Dawn of Discovery,DS,2009.0,Simulation,Ubisoft,0.07,0.03,0.0,0.01,0.12,Dawn of Discovery,DS,82.0,7.3
9994,FIFA Soccer,PSP,2005.0,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,FIFA Soccer,PSP,73.0,7.7
10002,A Witch's Tale,DS,2009.0,Role-Playing,Nippon Ichi Software,0.08,0.0,0.03,0.01,0.11,A Witch's Tale,DS,50.0,7.0
10007,Stronghold,PC,2001.0,Strategy,Gathering of Developers,0.0,0.09,0.0,0.02,0.11,Stronghold,PC,81.0,8.8
10015,Pac 'n Roll,DS,2005.0,Platform,Namco Bandai Games,0.09,0.0,0.02,0.01,0.11,Pac 'n Roll,DS,72.0,8.0
10017,Mechanic Master,DS,2008.0,Puzzle,Midway Games,0.1,0.0,0.0,0.01,0.11,Mechanic Master,DS,76.0,
10027,Retro Game Challenge,DS,2007.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,Retro Game Challenge,DS,77.0,6.9
10029,Every Extend Extra,PSP,2006.0,Shooter,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.11,Every Extend Extra,PSP,74.0,7.3
10036,Ultimate Mortal Kombat,DS,2007.0,Fighting,Midway Games,0.09,0.01,0.0,0.01,0.11,Ultimate Mortal Kombat,DS,73.0,8.3
10048,FIFA Soccer 06,PSP,2005.0,Sports,Electronic Arts,0.1,0.01,0.0,0.01,0.11,FIFA Soccer 06,PSP,77.0,7.7
10060,Pro Evolution Soccer 2014,PC,2013.0,Action,Konami Digital Entertainment,0.0,0.09,0.0,0.02,0.11,Pro Evolution Soccer 2014,PC,74.0,4.4
10061,"Sakura Wars: So Long, My Love",Wii,2010.0,Role-Playing,Ackkstudios,0.06,0.04,0.0,0.01,0.11,"Sakura Wars: So Long, My Love",Wii,75.0,8.3
