Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,name,platform,meta_score,user_score
1,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,Wii Sports,Wii,76.0,8.1
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,Mario Kart Wii,Wii,82.0,8.5
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,Wii Sports Resort,Wii,80.0,8.3
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,New Super Mario Bros.,DS,89.0,8.5
8,Wii Play,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,Wii Play,Wii,58.0,6.6
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,New Super Mario Bros. Wii,Wii,87.0,8.3
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,Mario Kart DS,DS,91.0,8.7
14,Wii Fit,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,Wii Fit,Wii,80.0,7.7
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,Wii Fit Plus,Wii,80.0,7.5
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,Brain Age 2: More Training in Minutes a Day,DS,77.0,7.1
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Super Smash Bros. Brawl,Wii,93.0,8.8
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,Animal Crossing: Wild World,DS,86.0,8.5
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,Mario Kart 7,3DS,85.0,8.2
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Super Mario Galaxy,Wii,97.0,9.1
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,Super Mario 3D Land,3DS,90.0,8.4
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Just Dance 3,Wii,74.0,8.0
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,New Super Mario Bros. 2,3DS,78.0,7.1
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Just Dance 2,Wii,74.0,7.2
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,Animal Crossing: New Leaf,3DS,88.0,8.7
75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,Mario Party DS,DS,72.0,7.9
79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Wii Party,Wii,68.0,7.9
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Mario Party 8,Wii,62.0,6.6
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,The Sims 3,PC,86.0,7.8
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Mario & Sonic at the Olympic Games,Wii,67.0,7.6
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,Grand Theft Auto: Liberty City Stories,PSP,88.0,7.7
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Super Mario Galaxy 2,Wii,97.0,9.1
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,The Legend of Zelda: Twilight Princess,Wii,95.0,9.0
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Just Dance,Wii,49.0,7.8
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,Just Dance 4,Wii,74.0,7.7
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,Big Brain Academy,DS,74.0,7.4
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Donkey Kong Country Returns,Wii,87.0,8.6
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,World of Warcraft,PC,93.0,7.4
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,Dragon Quest IX: Sentinels of the Starry Skies,DS,87.0,8.6
151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,LEGO Star Wars: The Complete Saga,Wii,80.0,8.7
154,Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,Cooking Mama,DS,67.0,7.4
162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,Monster Hunter Freedom Unite,PSP,81.0,8.5
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,Professor Layton and the Curious Village,DS,85.0,8.4
182,Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Diablo III,PC,88.0,4.2
187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,The Legend of Zelda: Phantom Hourglass,DS,90.0,7.9
189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,Tomodachi Life,3DS,71.0,7.6
190,Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,0.58,5.14,Mario & Sonic at the Olympic Games,DS,70.0,7.1
195,Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Microsoft Flight Simulator,PC,91.0,7.1
199,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,Grand Theft Auto: Vice City Stories,PSP,86.0,8.1
207,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,Link's Crossbow Training,Wii,68.0,7.1
213,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,LEGO Star Wars: The Complete Saga,DS,80.0,6.5
227,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,Animal Crossing: City Folk,Wii,73.0,7.9
231,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,0.44,4.62,Guitar Hero III: Legends of Rock,Wii,86.0,7.7
234,Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,0.48,4.58,Mario & Sonic at the Olympic Winter Games,Wii,72.0,7.5
235,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,Luigi's Mansion: Dark Moon,3DS,86.0,8.4
267,Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22,Daxter,PSP,85.0,8.3
282,Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,Half-Life,PC,96.0,9.1
285,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.14,1.2,0.37,0.4,4.1,The Legend of Zelda: Skyward Sword,Wii,93.0,8.1
287,Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,Carnival Games,Wii,56.0,5.8
289,World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,World of Warcraft: The Burning Crusade,PC,91.0,6.0
301,Professor Layton and the Diabolical Box,DS,2007.0,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0,Professor Layton and the Diabolical Box,DS,84.0,8.5
304,EA Sports Active,Wii,2009.0,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92,EA Sports Active,Wii,81.0,8.2
309,Monster Hunter 4 Ultimate,3DS,2014.0,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89,Monster Hunter 4 Ultimate,3DS,86.0,8.6
311,The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88,The Elder Scrolls V: Skyrim,PC,94.0,8.4
317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84,Flash Focus: Vision Training in Minutes a Day,DS,59.0,3.8
320,Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83,Mario & Luigi: Bowser's Inside Story,DS,90.0,8.8
321,Big Brain Academy: Wii Degree,Wii,2007.0,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82,Big Brain Academy: Wii Degree,Wii,68.0,7.1
324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,1.14,1.91,0.27,0.46,3.78,Mario & Sonic at the London 2012 Olympic Games,Wii,66.0,7.9
327,Ratchet & Clank: Size Matters,PSP,2007.0,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77,Ratchet & Clank: Size Matters,PSP,85.0,8.0
329,The Sims: Unleashed,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76,The Sims: Unleashed,PC,79.0,7.7
330,Super Paper Mario,Wii,2007.0,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76,Super Paper Mario,Wii,85.0,8.0
338,MySims,DS,2007.0,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69,MySims,DS,67.0,7.1
341,Midnight Club 3: DUB Edition,PSP,2005.0,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66,Midnight Club 3: DUB Edition,PSP,74.0,8.2
356,Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61,Cooking Mama 2: Dinner With Friends,DS,70.0,8.2
371,Mario & Sonic at the Olympic Winter Games,DS,2009.0,Sports,Sega,1.22,1.66,0.27,0.38,3.52,Mario & Sonic at the Olympic Winter Games,DS,76.0,8.1
377,Clubhouse Games,DS,2006.0,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5,Clubhouse Games,DS,83.0,7.8
381,Guitar Hero: On Tour,DS,2008.0,Misc,Activision,2.11,1.01,0.01,0.35,3.48,Guitar Hero: On Tour,DS,71.0,8.0
397,The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.43,0.94,0.74,0.27,3.38,The Legend of Zelda: Spirit Tracks,DS,87.0,7.9
400,Professor Layton and the Unwound Future,DS,2008.0,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36,Professor Layton and the Unwound Future,DS,86.0,8.7
406,Mario Party 9,Wii,2012.0,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32,Mario Party 9,Wii,73.0,6.7
413,Wii Music,Wii,2008.0,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27,Wii Music,Wii,63.0,4.8
425,Crisis Core: Final Fantasy VII,PSP,2007.0,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19,Crisis Core: Final Fantasy VII,PSP,83.0,8.5
426,God of War: Chains of Olympus,PSP,2008.0,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19,God of War: Chains of Olympus,PSP,91.0,8.7
432,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0.0,0.29,3.17,LEGO Batman: The Videogame,Wii,74.0,7.9
433,Rhythm Heaven,DS,2008.0,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17,Rhythm Heaven,DS,83.0,8.4
437,LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15,LEGO Batman: The Videogame,DS,72.0,8.1
438,Sonic Rush,DS,2005.0,Platform,Sega,1.22,1.57,0.06,0.29,3.15,Sonic Rush,DS,82.0,8.1
445,Personal Trainer: Cooking,DS,2006.0,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12,Personal Trainer: Cooking,DS,81.0,8.1
455,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,0.99,0.46,0.22,3.07,The Legend of Zelda: A Link Between Worlds,3DS,91.0,9.0
457,The Sims: Vacation,PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,0.14,3.07,The Sims: Vacation,PC,75.0,7.8
477,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,0.47,1.0,1.39,0.12,2.98,Animal Crossing: Happy Home Designer,3DS,66.0,6.9
479,The Sims 4,PC,2014.0,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97,The Sims 4,PC,70.0,4.1
480,Star Wars: The Old Republic,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.97,Star Wars: The Old Republic,PC,85.0,6.0
482,Kirby Super Star Ultra,DS,2008.0,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96,Kirby Super Star Ultra,DS,76.0,8.8
491,WarioWare: Smooth Moves,Wii,2006.0,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92,WarioWare: Smooth Moves,Wii,83.0,7.6
492,Cooking Mama: Cook Off,Wii,2007.0,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91,Cooking Mama: Cook Off,Wii,61.0,5.7
512,Command & Conquer: Red Alert,PC,1996.0,Strategy,Virgin Interactive,1.37,1.34,0.0,0.14,2.85,Command & Conquer: Red Alert,PC,90.0,8.8
513,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,1.4,1.14,0.0,0.31,2.85,Skylanders: Spyro's Adventure,Wii,81.0,6.1
527,Yoshi's Island DS,DS,2006.0,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8,Yoshi's Island DS,DS,81.0,7.5
534,Battlefield 3,PC,2011.0,Shooter,Electronic Arts,0.89,1.43,0.0,0.48,2.79,Battlefield 3,PC,89.0,7.6
536,Professor Layton and the Last Specter,DS,2009.0,Puzzle,Nintendo,0.3,1.47,0.68,0.34,2.79,Professor Layton and the Last Specter,DS,83.0,8.2
543,Sonic and the Secret Rings,Wii,2007.0,Platform,Sega,1.24,1.2,0.04,0.3,2.77,Sonic and the Secret Rings,Wii,69.0,6.2
572,Skylanders Giants,Wii,2012.0,Action,Activision,1.56,0.88,0.0,0.22,2.65,Skylanders Giants,Wii,78.0,7.0
573,Medal of Honor Heroes,PSP,2006.0,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65,Medal of Honor Heroes,PSP,71.0,7.9
582,Mario Strikers Charged,Wii,2007.0,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62,Mario Strikers Charged,Wii,79.0,8.2
593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58,LittleBigPlanet,PSP,87.0,7.9
596,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,0.37,0.27,1.75,0.18,2.58,Monster Hunter Freedom 2,PSP,72.0,8.5
599,Art Academy,DS,2010.0,Misc,Nintendo,0.28,1.68,0.33,0.28,2.57,Art Academy,DS,75.0,7.6
606,Deca Sports,Wii,2008.0,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54,Deca Sports,Wii,50.0,5.4
611,Game Party,Wii,2007.0,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52,Game Party,Wii,25.0,3.9
619,LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0.0,0.23,2.49,LEGO Harry Potter: Years 1-4,Wii,79.0,7.9
628,uDraw Studio,Wii,2010.0,Misc,THQ,1.67,0.58,0.0,0.2,2.46,uDraw Studio,Wii,71.0,
634,Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,0.87,0.98,0.0,0.59,2.44,Need for Speed Carbon: Own the City,PSP,73.0,8.2
636,Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,1.52,0.82,0.0,0.1,2.43,Riven: The Sequel to Myst,PC,83.0,8.6
653,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.54,0.63,0.0,0.22,2.39,LEGO Indiana Jones: The Original Adventures,Wii,78.0,7.0
667,Half-Life 2,PC,2004.0,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,Half-Life 2,PC,96.0,9.2
673,LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,1.05,0.0,0.23,2.35,LEGO Harry Potter: Years 1-4,DS,72.0,7.6
682,The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,1.14,0.54,0.47,0.17,2.32,The Legend of Zelda: Majora's Mask 3D,3DS,89.0,8.9
693,Guild Wars 2,PC,2012.0,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,Guild Wars 2,PC,90.0,8.0
694,Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.95,0.54,0.62,0.18,2.3,Pokemon Ranger: Shadows of Almia,DS,68.0,8.1
707,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,Paper Mario: Sticker Star,3DS,75.0,5.5
709,Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,1.07,0.92,0.04,0.24,2.27,Super Monkey Ball: Banana Blitz,Wii,74.0,5.8
713,Call of Duty 3,Wii,,Shooter,Activision,1.19,0.84,0.0,0.23,2.26,Call of Duty 3,Wii,69.0,6.7
720,Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25,Monster Hunter Tri,Wii,84.0,8.5
721,Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,0.51,0.51,0.91,0.32,2.25,Dissidia: Final Fantasy,PSP,79.0,8.2
725,LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,1.42,0.61,0.0,0.21,2.23,LEGO Indiana Jones: The Original Adventures,DS,80.0,8.1
729,Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22,Scribblenauts,DS,79.0,7.6
740,Sonic Unleashed,Wii,2008.0,Platform,Sega,1.28,0.68,0.02,0.21,2.2,Sonic Unleashed,Wii,66.0,7.2
752,Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.29,0.04,0.73,0.12,2.18,Pokemon Ranger,DS,69.0,7.3
757,The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,The Sims: House Party,PC,74.0,7.9
763,Call of Duty: Roads to Victory,PSP,2007.0,Shooter,Activision,0.52,1.03,0.0,0.59,2.14,Call of Duty: Roads to Victory,PSP,64.0,7.1
770,Tetris DS,DS,2006.0,Puzzle,Nintendo,0.64,0.07,1.35,0.08,2.13,Tetris DS,DS,84.0,7.9
774,Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.91,0.05,1.07,0.09,2.12,Final Fantasy III,DS,77.0,8.6
775,Kirby's Epic Yarn,Wii,2010.0,Platform,Nintendo,1.47,0.09,0.45,0.11,2.12,Kirby's Epic Yarn,Wii,86.0,8.5
783,Mario Sports Mix,Wii,2010.0,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11,Mario Sports Mix,Wii,64.0,7.9
784,Rock Band,Wii,,Misc,MTV Games,1.35,0.56,0.0,0.2,2.11,Rock Band,Wii,80.0,6.3
790,Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,1.77,0.13,0.02,0.18,2.1,Need for Speed: Most Wanted 5-1-0,PSP,72.0,7.6
800,Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,0.46,0.42,0.96,0.25,2.09,Metal Gear Solid: Peace Walker,PSP,89.0,8.6
801,World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,World of Warcraft: Cataclysm,PC,90.0,5.7
811,Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,0.63,0.42,0.75,0.26,2.07,Kingdom Hearts: Birth by Sleep,PSP,82.0,8.4
822,Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,0.89,0.57,0.46,0.13,2.06,Mario & Luigi: Dream Team,3DS,81.0,8.3
824,Carnival Games,DS,2008.0,Misc,Take-Two Interactive,1.23,0.64,0.0,0.19,2.05,Carnival Games,DS,48.0,3.2
831,Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,1.11,0.27,0.53,0.14,2.04,Kingdom Hearts 358/2 Days,DS,75.0,8.3
833,Rayman Raving Rabbids: TV Party,Wii,2008.0,Misc,Ubisoft,0.73,1.09,0.0,0.23,2.04,Rayman Raving Rabbids: TV Party,Wii,73.0,7.0
846,TouchMaster,DS,2007.0,Puzzle,Midway Games,0.49,1.27,0.0,0.25,2.01,TouchMaster,DS,71.0,5.8
849,Fire Emblem: Awakening,3DS,2012.0,Role-Playing,Nintendo,0.89,0.45,0.53,0.13,2.0,Fire Emblem: Awakening,3DS,92.0,9.0
861,Sonic Classic Collection,DS,2010.0,Platform,Sega,0.99,0.8,0.0,0.18,1.97,Sonic Classic Collection,DS,70.0,7.6
863,Call of Duty: World at War,Wii,2008.0,Shooter,Activision,1.2,0.59,0.0,0.19,1.97,Call of Duty: World at War,Wii,83.0,7.5
868,Hot Shots Golf: Open Tee,PSP,2004.0,Sports,Sony Computer Entertainment,0.5,0.5,0.63,0.33,1.96,Hot Shots Golf: Open Tee,PSP,81.0,8.3
894,Mario Super Sluggers,Wii,2008.0,Sports,Nintendo,1.51,0.0,0.29,0.12,1.93,Mario Super Sluggers,Wii,69.0,7.9
898,Monopoly,Wii,2008.0,Misc,Electronic Arts,0.87,0.85,0.0,0.2,1.92,Monopoly,Wii,70.0,7.1
900,The Sims: Makin' Magic,PC,2003.0,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,The Sims: Makin' Magic,PC,80.0,7.8
905,Star Wars: The Force Unleashed,Wii,2008.0,Action,LucasArts,1.14,0.57,0.0,0.19,1.91,Star Wars: The Force Unleashed,Wii,71.0,7.9
906,Game Party 2,Wii,2008.0,Misc,Midway Games,1.3,0.44,0.0,0.17,1.91,Game Party 2,Wii,29.0,5.8
908,LEGO Star Wars III: The Clone Wars,Wii,2011.0,Action,LucasArts,1.08,0.66,0.0,0.17,1.91,LEGO Star Wars III: The Clone Wars,Wii,76.0,8.2
936,Mario Party: Island Tour,3DS,2013.0,Misc,Nintendo,0.61,0.59,0.55,0.11,1.85,Mario Party: Island Tour,3DS,57.0,6.0
938,Rayman Raving Rabbids 2,Wii,2007.0,Misc,Ubisoft,0.83,0.82,0.0,0.2,1.85,Rayman Raving Rabbids 2,Wii,67.0,8.0
947,World of Warcraft: Mists of Pandaria,PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,World of Warcraft: Mists of Pandaria,PC,82.0,5.8
953,Kirby: Triple Deluxe,3DS,2014.0,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82,Kirby: Triple Deluxe,3DS,80.0,8.6
956,The Sims: Hot Date,PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82,The Sims: Hot Date,PC,85.0,7.8
957,Metroid Prime 3: Corruption,Wii,2007.0,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,Metroid Prime 3: Corruption,Wii,90.0,8.8
958,Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,Nintendo,0.22,0.21,1.35,0.03,1.81,Dragon Quest VI: Realms of Revelation,DS,78.0,8.3
974,Dragon Quest Monsters: Joker,DS,2006.0,Role-Playing,Square Enix,0.23,0.03,1.49,0.03,1.78,Dragon Quest Monsters: Joker,DS,75.0,7.4
1013,Cooking Mama 3: Shop & Chop,DS,2009.0,Simulation,505 Games,0.83,0.66,0.08,0.18,1.75,Cooking Mama 3: Shop & Chop,DS,65.0,6.3
1019,The Beatles: Rock Band,Wii,2009.0,Misc,MTV Games,1.19,0.4,0.0,0.16,1.74,The Beatles: Rock Band,Wii,89.0,7.4
1021,Sonic Colors,Wii,2010.0,Platform,Sega,0.96,0.61,0.01,0.16,1.74,Sonic Colors,Wii,78.0,8.2
1039,Call of Duty: Modern Warfare 3,PC,2011.0,Shooter,Activision,0.41,0.98,0.0,0.33,1.72,Call of Duty: Modern Warfare 3,PC,78.0,3.0
1042,The Sims 3: Late Night Expansion Pack,PC,2010.0,Simulation,Electronic Arts,0.59,0.87,0.0,0.25,1.71,The Sims 3: Late Night Expansion Pack,PC,74.0,5.5
1045,Deal or No Deal,DS,2007.0,Misc,Mindscape,1.15,0.41,0.0,0.15,1.71,Deal or No Deal,DS,20.0,2.2
1053,We Ski,Wii,2008.0,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7,We Ski,Wii,67.0,7.4
1054,Personal Trainer: Math,DS,2007.0,Puzzle,Nintendo,0.49,1.12,0.0,0.09,1.7,Personal Trainer: Math,DS,63.0,
1071,Sid Meier's Civilization V,PC,2010.0,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,Sid Meier's Civilization V,PC,90.0,8.0
1074,Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,LucasArts,0.9,0.47,0.0,0.32,1.68,Star Wars Battlefront: Renegade Squadron,PSP,73.0,8.0
1080,The Sims: Superstar,PC,2003.0,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,The Sims: Superstar,PC,79.0,7.6
1081,Star Wars The Clone Wars: Lightsaber Duels,Wii,2008.0,Action,LucasArts,1.23,0.3,0.0,0.14,1.68,Star Wars The Clone Wars: Lightsaber Duels,Wii,56.0,6.7
1082,MySims,Wii,2007.0,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68,MySims,Wii,68.0,7.0
1084,Shaun White Snowboarding: Road Trip,Wii,2008.0,Sports,Ubisoft,0.94,0.57,0.0,0.17,1.67,Shaun White Snowboarding: Road Trip,Wii,78.0,8.7
1086,Big Beach Sports,Wii,2008.0,Sports,THQ,0.45,1.02,0.0,0.2,1.67,Big Beach Sports,Wii,44.0,7.7
1111,Go Vacation,Wii,2011.0,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65,Go Vacation,Wii,64.0,8.2
1114,Dragon Quest IV: Chapters of the Chosen,DS,2007.0,Role-Playing,Square Enix,0.32,0.02,1.27,0.03,1.64,Dragon Quest IV: Chapters of the Chosen,DS,80.0,8.1
1116,LEGO Pirates of the Caribbean: The Video Game,Wii,2011.0,Action,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64,LEGO Pirates of the Caribbean: The Video Game,Wii,73.0,7.4
